,Number of Television,"Number of Car, Jeep, Van",Number of Stove with Oven/Gas Range,House Floor Area,House Age,Number of bedrooms,Electricity,Total Number of Family members,Total number of family members employed,Household Head Sex,Household Head Age,Agricultural Household indicator,Total Household Income,All_Food_Expenses,Going_Out_Expenses,Shopping_Expenses,Necessary_Expenses,Miscellaneous_Expenses
0,1,0,0,80,75,3,1,4,1,Female,49,0,48.0332,25.6555,0.3,0.4607,11.0949,4.1256
1,1,0,0,42,15,2,1,3,2,Male,40,0,19.8235,13.6478,0.332,1.0362,9.279,1.065
2,0,0,0,35,12,1,0,6,3,Male,39,1,8.2785,14.369,0.4815,0.726,1.5579,0.695
3,1,0,0,30,15,1,1,3,2,Male,52,0,10.7589,17.1181,0.676,0.139,2.4498,0.4262
4,1,0,0,54,16,3,1,4,2,Male,65,0,18.9322,20.1967,0.744,0.462,4.0358,0.9472
5,1,0,0,40,7,2,1,4,3,Male,46,0,15.2883,16.3138,0.018,0.217,2.8421,0.5994
6,1,0,0,35,18,1,1,5,1,Male,45,0,19.8621,22.5411,0.812,0.793,3.901,1.2526
7,1,0,0,35,48,2,1,5,0,Male,33,1,13.4961,20.5389,0.161,0.4085,4.8041,0.7062
8,1,0,0,35,8,1,1,2,0,Female,17,0,17.1152,13.1064,1.055,0.278,2.557,0.701
9,1,1,0,70,12,3,1,6,1,Male,53,0,62.5753,32.5369,1.562,0.774,9.3056,1.921
10,1,0,0,40,9,2,1,4,1,Male,49,1,14.7005,17.4762,0.3858,0.652,3.1225,0.8634
11,1,0,0,35,17,3,1,7,5,Male,35,0,25.313,24.2417,0.54,1.005,2.5231,1.5358
12,0,0,0,35,5,1,0,7,2,Male,38,1,10.1111,19.691,0.489,0.614,1.4159,0.5148
13,1,0,0,50,43,3,1,3,0,Male,53,1,12.8214,13.9391,0.03,0.2149,5.106,0.713
14,1,0,0,35,77,1,1,2,0,Male,75,1,9.1525,10.1667,0.0,0.0395,2.5217,0.2202
15,1,0,0,40,35,1,1,4,0,Female,36,0,17.1742,15.4832,0.332,0.5045,2.566,0.631
16,1,0,0,50,25,1,1,5,1,Male,67,1,9.5385,18.9565,0.2959,0.2015,2.0962,0.7834
17,1,0,0,35,20,1,1,8,1,Male,57,0,14.2843,19.5242,0.2755,0.242,1.9869,1.3364
18,1,0,0,40,1,2,1,4,3,Female,63,1,8.817,14.8731,0.052,0.361,2.2407,0.5674
19,1,0,0,25,7,0,1,5,1,Male,40,1,9.7018,16.5422,0.634,0.206,2.149,0.5268
20,1,0,0,30,6,1,1,4,2,Male,60,1,12.3015,16.1263,0.703,0.9105,3.741,0.5928
21,1,0,0,35,36,1,1,4,2,Male,62,1,10.09,15.0868,0.548,0.281,2.3806,0.4924
22,1,0,0,35,22,1,1,6,1,Male,45,0,15.3312,28.3416,1.231,0.754,3.1364,0.7826
23,0,0,0,20,7,1,1,5,1,Male,41,0,9.6814,14.6532,0.27,0.4905,1.598,0.6492
24,1,0,0,24,45,0,1,3,1,Male,43,1,9.1785,11.506,0.664,0.5216,3.3055,0.5468
25,1,0,0,35,16,1,1,3,1,Male,45,1,8.36,12.3245,0.5085,0.338,2.1788,0.593
26,0,0,0,25,1,1,1,2,0,Male,61,0,8.433,9.9367,0.0,0.256,1.7413,0.3384
27,1,0,0,32,7,2,1,3,0,Male,45,0,16.483,16.179,0.039,0.392,4.86,0.6506
28,0,0,0,30,13,1,0,6,2,Female,58,0,8.7612,19.9849,0.5377,0.414,1.8544,0.6218
29,0,0,0,35,1,1,1,6,0,Male,34,1,9.6862,17.4152,0.829,0.792,3.072,0.7304
30,0,0,0,30,14,1,0,2,0,Male,67,1,6.5929,12.8029,0.0,0.246,1.1337,0.249
31,0,0,0,25,3,0,0,6,2,Male,34,0,11.4998,18.7803,0.5028,0.5405,1.712,0.8248
32,0,0,0,36,13,1,1,2,0,Male,25,0,21.772,17.7339,0.091,0.337,1.6415,0.7072
33,0,0,0,30,11,1,1,4,1,Male,29,0,9.865,19.0955,0.104,0.3835,1.8512,0.5712
34,1,0,0,30,9,0,1,5,2,Male,53,0,16.9755,23.0762,1.467,0.599,4.534,0.8836
35,1,0,0,30,16,1,1,5,4,Female,83,0,14.3785,13.3476,0.159,0.464,2.7232,1.6864
36,0,0,0,36,23,2,1,2,0,Female,90,0,10.5805,10.291,0.341,0.173,2.6789,0.5982
37,1,0,0,36,18,2,1,6,3,Male,52,1,12.9066,24.5893,0.8816,0.579,4.248,0.8132
38,1,0,0,40,43,1,1,4,2,Male,78,0,15.471,19.3617,1.0378,0.4559,2.8706,0.8826
39,1,0,0,30,28,0,1,6,2,Female,79,0,20.3675,21.7065,1.8052,0.68,4.053,0.8382
40,1,0,0,35,25,2,1,4,1,Female,60,1,18.6475,19.5013,1.833,0.365,3.816,0.8392
41,0,0,0,35,17,1,1,4,2,Male,63,1,10.4457,14.5104,1.1416,0.644,4.0196,0.9257
42,0,0,0,35,21,1,1,6,2,Male,65,1,11.9492,17.664,0.2187,0.7615,1.6376,0.9408
43,1,0,0,80,6,2,1,4,1,Male,48,0,30.4598,19.4383,1.6216,0.224,6.917,4.2906
44,1,0,0,200,20,8,1,2,2,Male,54,0,82.4148,18.8686,1.52,1.704,17.6294,7.5746
45,1,0,0,40,16,2,1,5,1,Male,41,0,16.979,17.3531,1.691,0.7295,5.698,1.0968
46,1,0,0,85,18,4,1,4,1,Male,40,0,13.2275,17.1566,0.991,1.2513,6.1977,1.7732
47,1,0,0,35,19,1,1,5,0,Male,29,0,55.9202,20.021,1.18,2.283,6.0268,0.7186
48,1,0,0,32,19,2,1,2,1,Male,52,0,11.1495,12.8989,0.0,0.5195,3.011,0.4132
49,1,0,0,209,19,4,1,6,2,Male,49,0,97.7025,26.9974,1.922,1.952,20.3607,5.2458
50,1,0,0,200,25,2,1,5,1,Male,65,0,27.25,17.2107,2.5608,0.58,6.7542,2.5326
51,2,0,0,102,17,4,1,10,1,Male,75,0,67.7321,48.9418,3.906,1.8235,10.6818,3.5114
52,1,1,0,238,15,4,1,2,0,Male,67,0,20.557,13.714,0.3214,0.4145,14.7468,0.2478
53,1,0,0,100,25,5,1,3,0,Female,36,0,35.074,19.4385,0.831,0.876,6.5464,1.2686
54,1,0,0,96,15,3,1,3,2,Male,53,0,20.649,15.9042,0.219,1.8614,7.1822,1.6778
55,0,0,0,36,9,1,1,3,2,Female,35,0,11.302,14.129,0.416,0.961,2.8428,0.6116
56,2,0,0,316,16,3,1,7,2,Male,63,0,74.011,34.4148,4.128,1.9775,13.532,6.3254
57,1,0,0,50,7,1,1,2,0,Female,69,0,28.1236,11.7461,0.0375,0.12,3.3726,0.49
58,0,0,0,63,35,4,1,3,1,Male,28,0,10.0806,12.2817,0.598,0.101,2.2212,0.469
59,1,0,1,50,5,5,1,6,2,Male,56,0,41.019,19.7217,0.5524,0.3362,5.192,1.964
60,3,1,0,203,16,3,1,4,1,Male,66,0,73.021,33.8485,2.205,1.839,12.8222,5.3186
61,0,0,0,48,10,0,0,7,1,Male,37,0,11.3852,19.0885,1.4976,0.276,2.896,0.6894
62,1,0,0,40,11,2,1,2,0,Female,21,0,13.2645,10.763,0.412,0.183,3.4766,0.9028
63,1,0,0,100,12,3,1,8,2,Female,60,0,30.1423,26.2208,1.7564,0.3933,7.1439,1.7066
64,1,0,0,54,8,2,1,4,1,Male,41,0,14.3839,15.1582,0.0648,0.48,4.6614,0.7086
65,1,0,0,36,11,2,1,5,3,Male,45,0,30.124,21.6717,1.7574,0.343,6.2448,2.9466
66,0,0,0,36,12,1,1,5,2,Male,37,0,11.741,19.7355,0.461,1.2522,2.2626,0.8508
67,1,0,0,30,12,1,1,2,1,Male,51,0,15.2913,13.1906,0.1645,0.645,2.074,0.5406
68,0,0,0,30,7,1,1,2,2,Male,51,1,8.6964,13.4607,0.108,0.157,1.6508,0.3018
69,1,0,0,50,18,3,1,4,2,Male,26,0,22.6761,19.7587,0.9267,0.3125,4.293,1.697
70,1,0,0,48,15,1,1,6,1,Male,38,0,15.3585,21.0603,2.377,1.5075,3.0314,1.497
71,0,0,0,35,23,1,1,5,2,Male,38,1,9.6855,16.905,0.5965,0.94,2.179,0.6804
72,1,0,0,48,2,3,1,4,3,Male,53,0,26.452,23.5185,0.5315,0.9172,3.0072,2.1402
73,0,0,0,63,10,2,1,4,1,Male,68,0,24.1065,19.7686,0.739,0.4284,4.5214,2.5454
74,1,0,0,30,17,2,1,7,3,Male,34,1,12.1751,18.9198,1.0398,1.0235,2.368,1.1606
75,1,0,0,84,47,4,1,4,3,Male,62,1,13.5071,19.851,0.539,0.9152,2.9894,1.1288
76,1,0,0,54,20,2,1,3,2,Male,50,0,23.9836,20.0278,0.8125,0.5435,3.7008,1.1756
77,0,0,0,25,26,1,0,1,0,Male,43,1,6.7755,6.6902,0.169,1.0555,1.4922,0.2648
78,1,0,0,30,38,2,1,4,2,Male,46,0,14.8088,17.0802,0.647,0.3386,2.0422,0.544
79,1,0,0,72,25,3,1,7,1,Male,63,0,25.5226,31.4077,2.143,2.262,7.332,1.4356
80,1,0,0,40,19,3,1,4,1,Male,64,0,17.5305,18.7804,0.207,0.7856,3.4872,1.164
81,1,0,0,42,14,2,1,3,3,Male,60,1,9.8132,15.5726,0.117,0.9245,2.3694,0.8646
82,1,0,0,45,14,2,1,2,0,Male,45,0,14.4206,16.1839,0.2005,0.7985,3.3018,0.711
83,1,0,0,72,21,3,1,5,2,Male,45,0,12.5505,20.4797,1.578,1.392,3.5836,1.0106
84,0,0,0,30,1,1,0,4,1,Male,32,1,6.79,13.4657,0.162,0.5055,1.5182,0.6874
85,0,0,0,35,14,2,0,2,2,Male,55,1,8.4369,10.5654,0.051,0.43,1.9957,0.6488
86,1,0,0,35,14,1,1,4,1,Male,63,0,12.1743,16.1922,0.341,0.8439,2.2008,0.808
87,1,0,0,30,12,1,1,7,1,Male,36,0,16.608,24.0485,0.6459,1.7402,2.7821,0.7226
88,1,0,0,70,40,3,1,5,4,Male,42,0,37.2972,34.308,0.8312,2.3948,6.7244,3.31
89,1,0,0,40,50,1,1,2,0,Female,65,0,30.0324,16.6312,0.0,0.145,2.1626,1.6124
90,1,0,0,45,4,2,1,6,1,Male,38,0,16.8498,16.6679,0.5506,0.3265,2.576,3.1626
91,1,0,0,35,8,1,1,2,0,Female,55,1,6.8425,11.4765,0.0,0.335,1.428,0.2334
92,1,0,0,45,21,3,1,3,2,Male,52,0,15.1545,17.873,0.958,0.378,4.522,0.7104
93,1,0,0,20,2,1,1,2,1,Male,72,0,13.8688,14.7115,0.0,0.175,3.2963,2.1326
94,1,0,0,25,2,1,1,4,3,Male,48,1,9.6695,17.0551,0.3525,0.9219,2.5662,0.5886
95,1,0,0,60,13,2,1,2,1,Male,62,0,37.9622,18.1917,0.35,0.5455,6.0758,3.0328
96,1,0,0,30,4,2,1,5,3,Male,50,1,14.7342,19.4481,0.2314,2.154,1.967,0.6216
97,0,0,0,60,70,0,1,6,3,Female,60,0,17.444,22.6908,0.141,0.333,1.3002,0.537
98,1,0,0,60,39,2,1,2,0,Female,77,0,22.3295,17.4769,0.609,0.369,5.456,0.6432
99,1,0,0,40,1,2,1,3,0,Male,65,1,10.6805,15.1874,0.933,0.066,3.0235,0.4206
100,0,0,0,30,4,0,0,7,3,Male,50,1,10.1045,22.6638,0.6705,0.2134,1.485,0.3726
101,1,0,0,42,10,2,1,4,0,Male,36,1,10.1814,17.0392,0.7775,0.625,1.8586,0.2442
102,0,0,0,40,26,2,1,3,0,Male,31,0,10.9955,13.9116,0.3445,0.343,1.8768,0.3838
103,1,0,0,50,1,4,1,3,0,Female,83,0,39.11,23.3696,0.36,0.379,4.182,0.5094
104,1,0,0,35,14,2,1,8,1,Male,65,1,11.1495,19.7051,0.195,0.1055,1.6742,0.5708
105,1,0,0,35,5,2,1,6,3,Male,46,0,16.0114,18.4907,0.3966,0.2655,1.883,1.0578
106,1,0,0,30,6,0,1,4,0,Male,35,0,14.541,17.6592,0.3823,0.4025,2.0273,0.8056
107,0,0,0,35,41,2,1,12,2,Male,38,1,16.608,30.8127,0.5905,0.274,1.575,0.4854
108,0,0,0,35,23,0,1,7,2,Male,53,0,14.941,23.9701,1.1495,0.145,1.932,0.3294
109,1,0,0,30,20,0,1,8,1,Male,43,0,12.3308,21.7056,0.2935,0.359,1.5908,0.4548
110,1,0,0,40,2,0,1,6,1,Male,53,0,28.012,25.8861,2.3725,0.166,3.7109,0.4062
111,1,0,0,35,67,2,1,8,1,Female,86,1,11.7005,20.3107,0.283,0.2605,1.4656,0.4596
112,1,0,0,35,40,2,1,5,0,Male,38,0,11.422,19.0472,0.4125,0.4528,1.5982,0.675
113,1,0,0,50,18,2,1,3,0,Male,83,0,29.8126,13.4815,0.0,0.3775,3.13,0.4482
114,1,0,0,100,16,3,1,5,1,Male,38,0,48.5633,27.8492,1.419,1.4972,7.5496,4.1436
115,0,0,0,30,15,1,1,4,1,Male,41,0,9.2782,18.1612,0.8857,0.2025,1.6202,0.6048
116,1,0,0,30,12,1,1,6,0,Male,64,1,13.6934,19.0101,0.8605,0.159,1.302,0.6732
117,0,0,0,25,20,1,1,1,0,Female,79,0,5.0561,4.8311,0.0,0.04,0.755,0.1032
118,0,0,0,24,2,1,1,3,2,Female,69,0,10.9428,12.2488,0.0,0.206,1.0222,0.424
119,1,0,0,42,28,1,1,6,1,Male,45,1,13.3765,20.4889,0.8425,0.5575,1.7791,0.6222
120,1,0,0,49,13,1,1,2,1,Male,30,0,12.811,14.1744,0.3685,0.455,1.6532,0.5508
121,0,0,0,35,7,1,0,6,2,Male,35,0,11.1815,17.2661,0.5706,0.232,1.6284,0.6322
122,1,0,0,30,5,1,1,2,1,Female,29,0,9.2715,12.7344,0.1865,0.3035,2.1126,0.523
123,1,0,0,35,22,1,1,4,2,Male,58,0,14.665,16.0271,0.7467,0.6729,2.7523,0.807
124,2,0,0,40,11,3,1,3,0,Male,39,0,29.32,22.4066,1.303,1.3995,11.0225,0.7576
125,0,0,0,30,3,1,1,3,0,Male,36,0,17.9704,16.2724,0.5959,0.4486,2.0304,0.4588
126,1,0,0,30,1,1,1,4,3,Male,56,0,15.262,13.2747,0.629,0.715,1.6444,0.49
127,0,0,0,30,23,1,1,3,3,Male,55,1,7.2175,17.2691,0.0504,0.228,1.366,0.5416
128,0,0,0,30,2,1,0,4,1,Male,46,0,10.544,11.0138,0.1695,0.212,1.0362,0.453
129,1,0,0,50,65,3,1,4,2,Female,85,0,13.0495,16.6008,0.0239,0.292,2.2086,0.558
130,1,0,0,48,19,2,1,7,4,Male,46,0,13.0825,20.655,1.274,0.6325,3.7148,0.8924
131,1,0,0,49,20,2,1,2,0,Male,71,0,7.7635,8.6869,0.0,0.056,1.337,0.322
132,0,0,0,30,6,1,1,3,2,Male,48,0,11.157,13.1166,0.048,0.235,1.5586,0.469
133,1,0,0,50,20,3,1,4,1,Female,35,0,12.116,16.3142,0.113,0.212,3.0664,0.6246
134,0,0,0,30,1,1,0,5,2,Male,36,0,9.6125,15.7753,0.934,0.2885,1.5864,0.6304
135,1,0,0,40,1,1,1,6,1,Male,41,0,37.9828,18.9539,0.888,0.5959,2.7055,3.1482
136,0,0,0,35,30,1,1,8,2,Male,65,1,14.692,17.3813,0.637,0.177,1.5234,0.3378
137,1,0,0,40,24,2,1,4,0,Male,56,0,21.47,14.0377,1.11,0.308,4.2096,0.7896
138,1,0,0,96,7,3,1,3,0,Male,54,0,23.9598,16.1721,1.3026,0.159,4.821,0.7938
139,1,0,0,30,4,0,1,1,0,Female,80,0,6.9635,3.9153,0.0,0.018,0.996,0.0672
140,1,0,0,30,45,2,1,1,0,Female,83,0,11.636,6.9746,0.0,0.028,1.419,2.6512
141,0,0,0,30,1,1,1,4,0,Male,32,0,18.1498,12.9228,0.46,0.26,1.7022,0.5374
142,1,0,0,30,11,2,1,3,0,Male,42,0,14.869,16.8026,0.4336,0.267,2.6354,0.5476
143,0,0,0,30,21,1,1,3,2,Female,55,1,12.98,11.5092,0.25,0.135,1.4688,0.4096
144,0,0,0,48,35,2,1,6,1,Male,35,1,16.34,20.5105,1.001,0.346,2.2148,0.6772
145,0,0,0,30,12,1,1,4,2,Male,37,0,7.212,15.4137,0.4372,0.242,2.0026,0.5086
146,1,0,0,42,16,1,1,6,2,Male,35,0,25.978,24.5963,2.204,0.454,3.8362,1.08
147,1,0,0,30,8,0,1,4,1,Male,30,1,10.4905,8.63,0.478,0.2525,2.807,0.5434
148,0,0,0,30,47,0,1,2,0,Male,31,1,6.3825,7.6512,0.03,0.073,1.4434,0.168
149,1,0,0,42,9,2,1,7,0,Male,35,0,12.009,19.077,0.5515,0.433,2.7288,0.4356
150,0,0,0,40,21,1,1,4,1,Male,46,0,30.1873,11.1679,0.2914,0.7015,5.0163,1.0014
151,1,0,0,49,50,2,1,4,0,Male,51,1,11.6643,13.4574,0.3481,0.535,1.905,0.381
152,1,0,0,42,64,3,1,5,0,Male,67,0,18.363,17.4487,0.19,0.2955,3.2294,0.6234
